id,sku,name,material,percentage,sex,color,category,price,discount
1,881341073794,The Iconic Doeskin Two-Button Blazer,Cotton,100,Man,Blue,Blazers,4412,0
2,964108522645,Polo Soft Tailored Seersucker Blazer,Other,100,Man,Camel,Blazers,3485,10
3,102152029962,Wool Herringbone Tweed Waistcoat,Flannel,100,Man,White,Blazers,3147,0
4,403788690128,Polo Tailored Plaid Harris Tweed Jacket,Leather,100,Man,Black,Blazers,4870,0
5,200032603197,Polo Soft Tailored Hemp Twill Jacket,Other,100,Man,Camel,Blazers,1536,10
6,486172469131,The Pearson Twill Jacket,Leather,100,Man,White,Blazers,4687,0
7,542811162286,Polo Tailored Plaid Harris Tweed Jacket,Cotton,100,Man,Dark Blue,Blazers,2535,0
8,446320883044,Tailored Washed Twill Suit Jacket,Cotton,100,Man,Green,Blazers,3059,0
9,469118455112,The Pearson Twill Jacket,Denim,100,Man,Blue,Blazers,1176,20
10,872240553247,Polo Modern Performance Twill Jacket,Flannel,100,Man,Black,Blazers,4527,0
11,613954363775,Polo Soft Tailored Hemp Twill Jacket,Other,100,Man,White,Blazers,2002,0
12,805553070024,Polo Soft Tailored Stretch Chino Jacket,Leather,100,Man,Blue,Blazers,2091,0
13,945464407897,The RL67 Linen Twill Jacket,Flannel,100,Man,White,Blazers,2186,0
14,368633874315,Polo Modern Performance Twill Jacket,Other,100,Man,Black,Blazers,3855,15
15,647744658448,The RL67 Herringbone Jacket,Flannel,100,Man,Brown,Blazers,4730,0
16,094362832638,Polo Soft Tailored Chino Blazer,Denim,100,Man,Blue,Blazers,958,15
17,440726419614,Polo Soft Tailored Chambray Suit Jacket,Flannel,100,Man,White,Blazers,1787,0
18,523135448336,Polo Wool Twill Blazer,Flannel,100,Man,Orange,Blazers,4059,0
19,222441503324,Polo Tailored Wool Flannel Blazer,Other,100,Man,Brown,Blazers,947,0
20,909996881820,Polo Tailored Wool Flannel Blazer,Wool,100,Man,Violet,Blazers,1428,0
