Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, factorial, -1, 0.049499511718750000, 0.063232421875000000,  ,  , 2, 46.8, 1536
C, factorial, -1, 0.071716308593750000, 0.067687988281250000,  ,  , 2, 46.8, 1536
C, factorial, -1, 0.045776367187500000, 0.026916503906250000,  ,  , 12, 46.8, 1536
C, factorial, -1, 0.066589355468750000, 0.042907714843750000,  ,  , 13, 46.8, 1536
C, factorial, -1, 0.121826171875000000, 0.097351074218750000,  ,  , 3, 46.8, 1536
C, factorial, -1, 0.156188964843750000, 0.141845703125000000,  ,  , 4, 46.8, 1536
C, factorial, -1, 0.163696289062500000, 0.143920898437500000,  ,  , 4, 46.8, 1536
C, factorial, -1, 0.076660156250000000, 0.070129394531250000,  ,  , 2, 46.8, 1536
C, factorial, -1, 0.050415039062500000, 0.022399902343750000,  ,  , 12, 46.8, 1536
C, factorial, -1, 0.038879394531250000, 0.019104003906250000,  ,  , 12, 46.8, 1536
C, factorial, 2, 0.046997070312500000, 0.031250000000000000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.047241210937500000, 0.025573730468750000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.043640136718750000, 0.021850585937500000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.041381835937500000, 0.021423339843750000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.040283203125000000, 0.019653320312500000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.039123535156250000, 0.020385742187500000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.038452148437500000, 0.020019531250000000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.047241210937500000, 0.023925781250000000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.051452636718750000, 0.026916503906250000,  ,  , 12, 47.5, 1536
C, factorial, 2, 0.043884277343750000, 0.023742675781250000,  ,  , 12, 47.5, 1536
C, factorial, 5, 0.039611816406250000, 0.021728515625000000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.044738769531250000, 0.022460937500000000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.050354003906250000, 0.025939941406250000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.050231933593750000, 0.025512695312500000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.051269531250000000, 0.025634765625000000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.043945312500000000, 0.024902343750000000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.047851562500000000, 0.024841308593750000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.039672851562500000, 0.023376464843750000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.042236328125000000, 0.023864746093750000,  ,  , 12, 42.8, 1536
C, factorial, 5, 0.042663574218750000, 0.025085449218750000,  ,  , 12, 42.8, 1536
