Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, test_auditoria_1_monolith, -1, 151.961669921875000000, 116.885131835937500000,  ,  , 7761, 55.2, 82416
Python, test_auditoria_1_monolith, -1, 150.614196777343750000, 115.308593750000000000,  ,  , 7844, 53.0, 82364
Python, test_auditoria_1_monolith, -1, 149.392700195312500000, 114.140258789062500000,  ,  , 7827, 49.3, 82716
Python, test_auditoria_1_monolith, -1, 149.861145019531250000, 114.583984375000000000,  ,  , 7833, 49.2, 82072
Python, test_auditoria_1_monolith, -1, 150.022521972656250000, 114.735412597656250000,  ,  , 7838, 50.7, 82668
Python, test_auditoria_1_monolith, -1, 152.248657226562500000, 117.126342773437500000,  ,  , 7801, 55.5, 82352
Python, test_auditoria_1_monolith, -1, 150.200988769531250000, 114.580566406250000000,  ,  , 7903, 51.7, 82440
Python, test_auditoria_1_monolith, -1, 152.625000000000000000, 117.239318847656250000,  ,  , 7845, 54.7, 82420
Python, test_auditoria_1_monolith, -1, 150.818969726562500000, 115.557739257812500000,  ,  , 7819, 54.0, 82540
Python, test_auditoria_1_monolith, -1, 150.010070800781250000, 114.445495605468750000,  ,  , 7903, 45.5, 82396
Python, test_auditoria_1_ms, -1, 553.503051757812500000, 332.306640625000000000,  ,  , 40810, 45.5, 68112
Python, test_auditoria_1_ms, -1, 550.622924804687500000, 330.849304199218750000,  ,  , 40639, 54.2, 68288
Python, test_auditoria_1_ms, -1, 548.851379394531250000, 327.678100585937500000,  ,  , 40874, 49.7, 68228
Python, test_auditoria_1_ms, -1, 551.877319335937500000, 329.451171875000000000,  ,  , 41135, 52.5, 68084
Python, test_auditoria_1_ms, -1, 556.425476074218750000, 334.335388183593750000,  ,  , 40928, 50.8, 67912
Python, test_auditoria_1_ms, -1, 558.642211914062500000, 336.809387207031250000,  ,  , 40886, 47.5, 68172
Python, test_auditoria_1_ms, -1, 567.109497070312500000, 343.256042480468750000,  ,  , 41109, 50.7, 68208
Python, test_auditoria_1_ms, -1, 560.113037109375000000, 339.152404785156250000,  ,  , 40667, 49.8, 68020
Python, test_auditoria_1_ms, -1, 558.589050292968750000, 336.305053710937500000,  ,  , 40865, 54.0, 68040
Python, test_auditoria_1_ms, -1, 565.435180664062500000, 344.499267578125000000,  ,  , 40649, 52.7, 68208
